"RFY","Raja stenorhynchus"
"RFL","Raja straeleni"
"RFA","Raja taaf"
"JAB","Raja teevani"
"JAE","Raja tengu"
"JAF","Raja texana"
"JAZ","Raja whitleyi"
"JAG","Raja velezi"
"RJA","Raja alba"
"JAH","Raja rhina"
"JFB","Raja robertsi"
"RFO","Raja rondeleti"
"RFX","Raja rouxi"
"JFC","Raja schmidti"
"RJY","Raja fyllae"
"SRR","Raja georgiana"
"JRK","Raja ackleyi"
"JRA","Raja acutispina"
"JRF","Raja africana"
"JRN","Raja annandalei"
"JRS","Raja asterias"
"JRU","Raja australis"
"JRB","Raja badia"
"JRH","Raja bathyphila"
"JRW","Raja bigelowi"
"JRI","Raja binoculata"
"JRO","Raja boesemani"
"JRL","Raja bullisi"
"JRM","Raja campbelli"
"JRT","Raja castelnaui"
"JRD","Raja caudaspinosa"
"JRV","Raja cerva"
"JRG","Raja cervigoni"
"JRR","Raja clarkii"
"JRJ","Raja compagnoi"
"JRZ","Raja cortezensis"
"JRY","Raja cyclophora"
"JRX","Raja dageti"
"JRQ","Raja dissimilis"
"JFD","Raja doutrei"
"JFE","Raja eglanteria"
"JFQ","Raja equatorialis"
"RJD","Raja erinacea"
"JFF","Raja fuliginea"
"JFG","Raja garmani"
"JFI","Raja gigas"
"JFU","Raja gudgeri"
"JFH","Raja heemstrai"
"JFW","Raja herwigi"
"JFO","Raja hollandi"
"RJG","Raja hyperborea"
"JFN","Raja innominata"
"JFR","Raja inornata"
"RJJ","Raja jenseni"
"JFJ","Raja johannisdavisi"
"JFK","Raja kenojei"
"RJL","Raja laevis"
"JFA","Raja lanceorostrata"
"JFM","Raja lemprieri"
"JFS","Raja lentiginosa"
"JFV","Raja leopardus"
"JFX","Raja leucosticta"
"RJK","Raja lintea"
"JRC","Raja macrocauda"
"JFY","Raja maderensis"
"JFZ","Raja meerdervoortii"
"JAM","Raja melitensis"
"JAI","Raja miraletus"
"JAT","Raja nasuta"
"JAD","Raja nidarosiensis"
"RJT","Raja ocellata"
"JAO","Raja olseni"
"JRP","Raja pita"
"JFP","Raja polyommata"
"JAY","Raja polystigma"
"JAW","Raja powelli"
"JAU","Raja pulchra"
"JAL","Raja pullopunctata"
"JAV","Raja purpuriventralis"
"JAR","Raja radula"
"RFV","Raja ravidula"
"SKA","Raja spp"
"BEA","Bathyraja eatonii"
"BAM","Bathyraja maccaini"
"BMU","Bathyraja murrayi"
"BYC","Bathyraja caeluronigricans"
"BYD","Bathyraja diplotaenia"
"BYY","Bathyraja abyssicola"
"BYA","Bathyraja aleutica"
"BYV","Bathyraja andriashevi"
"BYG","Bathyraja griseocauda"
"BYH","Bathyraja hesperafricana"
"BYI","Bathyraja interrupta"
"BYR","Bathyraja irrasa"
"BYT","Bathyraja isotrachys"
"BYL","Bathyraja lindbergi"
"BYM","Bathyraja matsubarai"
"BYE","Bathyraja meridionalis"
"BYN","Bathyraja minispinosa"
"BYO","Bathyraja notoroensis"
"BYP","Bathyraja pallida"
"BYF","Bathyraja parmifera"
"BYQ","Bathyraja richardsoni"
"BYJ","Bathyraja rosispinis"
"BYU","Bathyraja shuntovi"
"BYK","Bathyraja simoterus"
"BYX","Bathyraja smirnovi"
"BYZ","Bathyraja smithii"
"RJQ","Bathyraja spinicauda"
"BJS","Bathyraja spinosissima"
"BJT","Bathyraja trachouros"
"BJR","Bathyraja trachura"
"BJZ","Bathyraja tzinovskii"
"BJV","Bathyraja violacea"
"BZB","Bathyraja brachyurops"
